entityid,TYPE,NAME,ADDRESS,LOCATION,LATITUDE,LONGITUDE
,BALL DIAMOND,A.C.T. BALL PARK SE - BALL DIAMOND BS #271,460 ELPHINSTONE STREET,A.C.T. BALL PARK SE,50.4720142880001,-104.633506838
,POLICE,REGINA POLICE SERVICE,1717 OSLER STREET,REGINA POLICE SERVICE,50.4513190550001,-104.604406907
,PLAYGROUND,MASSEY SCHOOL - PLAYGROUND 131 MASSEY ROAD,131 MASSEY ROAD,MASSEY SCHOOL,50.410905137,-104.607891713
,OUTDOOR RINK UNBOARDED,DR. A.E. PERRY SCHOOL - OUTDOOR RINK UNBOARDED,93 LINCOLN DRIVE,DR. A.E. PERRY SCHOOL,50.4021194650001,-104.632506839
,SEPARATE ELEMENTARY SCHOOL,ST. MATTHEW - SEPARATE ELEMENTARY SCHOOL,4710 CASTLE ROAD,ST. MATTHEW - SEPARATE ELEMENTARY SCHOOL,50.4044871820001,-104.60455716
,BASKETBALL,DIEPPE SCHOOL - BASKETBALL,145 DOROTHY STREET,DIEPPE SCHOOL,50.458523239,-104.679616975
,BALL DIAMOND,DESHAYE SCHOOL - BALL DIAMOND BS #9,37 CAMERON CRESCENT,DESHAYE SCHOOL,50.4121380860001,-104.622802242
,ATHLETIC FIELD,ST. FRANCIS SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL,50.464556869,-104.665800039
,ATHLETIC FIELD,PRINCE OF WALES PARK - ATHLETIC FIELD,3800 E CUMBERLAND ROAD,PRINCE OF WALES PARK,50.4385114520001,-104.529490633
,PLAYGROUND,PARKLAND PARK - PLAYGROUND 3210 E PARKLAND DR,3210 E PARKLAND DRIVE,PARKLAND PARK,50.4394294030001,-104.538017215
,PLAYGROUND,HOLY ROSARY SCHOOL - PLAYGROUND 2160 CAMERON ST,2160 CAMERON STREET,HOLY ROSARY SCHOOL,50.4441175190001,-104.626796946
,OUTDOOR RINK BOARDED,READY PARK - OUTDOOR RINK BOARDED,3043 E ARENS ROAD,READY PARK,50.436403651,-104.540468898
,BALL DIAMOND,LES SHERMAN PARK NORTH - BALL DIAMOND BS #153,4055 15TH AVENUE,LES SHERMAN PARK NORTH,50.4412597,-104.638971472
